;;;;;;;;;;;;;;;;;;;
091120;077200;7;0864;Flachfernseher;0,29788;99,6;97,7;1,9;-2,5;0,005;-0,007;;;;;;;;
0912;;3;;Foto-, Kino- und optische Geräte;0,09358;111,4;111,9;-0,4;5,9;0,000;0,006;;;;;;;;
09121;;4;;Kameras;0,09358;111,4;111,9;-0,4;5,9;0,000;0,006;;;;;;;;
091210;077400;7;0824;Spiegelreflexkamera;0,04347;97,8;98,4;-0,6;-1,9;0,000;-0,001;;;;;;;;
091210;077600;7;0854;Digitalkompaktkamera;0,05011;124,9;125,0;-0,1;13,2;0,000;0,007;;;;;;;;
0913;;3;;Datenverarbeitungsgeräte;0,45198;106,7;106,1;0,6;0,3;0,002;0,001;;;;;;;;
09131;;4;;Personalcomputer;0,32719;105,5;104,5;1,0;-3,2;0,003;-0,011;;;;;;;;
091310;078100;7;0843;PC;0,07265;103,6;103,8;-0,2;-3,8;0,000;-0,003;;;;;;;;
091310;078300;7;0861;Notebook / Tablet;0,25454;106,1;104,7;1,3;-3,0;0,003;-0,008;;;;;;;;
09132;;4;;Zubehör für Informationsverarbeitungsgeräte;0,09447;106,0;105,5;0,5;7,5;0,000;0,007;;;;;;;;
091320;078200;7;0860;PC-Zubehör;0,09447;106,0;105,5;0,5;7,5;0,000;0,007;;;;;;;;
09133;;4;;Software;0,03032;120,2;124,3;-3,3;15,8;-0,001;0,005;;;;;;;;
091330;077700;7;0799;Softwarepaket;0,03032;120,2;124,3;-3,3;15,8;-0,001;0,005;;;;;;;;
0914;;3;;Aufzeichnungsmedien;0,15966;86,3;86,7;-0,5;-0,5;-0,001;-0,001;;;;;;;;
09141;;4;;Bespielte Ton-, Bild- und Datenträger;0,12659;83,2;83,2;0,0;0,0;0,000;0,000;;;;;;;;
091410;091410;7;1300;Musikstreaming;0,12659;100,0;100,0;0,0;0,0;0,000;0,000;;;;;;;;
09149;;4;;Andere Ton-, Bild- und Datenträger;0,03307;92,1;94,2;-2,2;-2,2;-0,001;-0,001;;;;;;;;
091490;079300;7;0859;Speichermedium;0,03307;92,1;94,2;-2,2;-2,2;-0,001;-0,001;;;;;;;;
0915;;3;;Reparatur v. Geräten f. Audiovision, Fotografie und Datenverarb.;0,01988;103,0;103,0;0,0;2,4;0,000;0,000;;;;;;;;
09150;;4;;Reparatur audiovis., fotogr. und Info-Verarbeitungsgeräte u. Zubehör;0,01988;103,0;103,0;0,0;2,4;0,000;0,000;;;;;;;;
091500;079400;7;0828;Fernsehmechaniker / PC-Service;0,01988;103,0;103,0;0,0;2,4;0,000;0,000;;;;;;;;
092;;2;;Sonstige wesentliche Gebrauchsgüter für Freizeit und Kultur;0,23442;106,3;106,3;0,0;3,0;0,000;0,007;;;;;;;;
0922;;3;;Wesentliche Gebrauchsgüter für die Freizeit einschl. Musikinstr.;0,23442;106,3;106,3;0,0;3,0;0,000;0,007;;;;;;;;
09221;;4;;Musikinstrumente;0,14143;105,4;105,4;0,0;1,2;0,000;0,002;;;;;;;;
092210;079500;7;0803;Blockflöte;0,09266;104,1;104,1;0,0;0,9;0,000;0,001;;;;;;;;
092210;079600;7;0804;Gitarre;0,04877;108,0;108,0;0,0;2,0;0,000;0,001;;;;;;;;
09222;;4;;Größere langlebige Gebrauchsgüter für Freizeit in Räumen;0,09299;108,2;108,2;0,0;5,8;0,000;0,005;;;;;;;;
092220;079700;7;0806;Tischtennistisch;0,09299;108,2;108,2;0,0;5,8;0,000;0,005;;;;;;;;
093;;2;;Sonstige Freizeitartikel u. -geräte, Gartenartikel u. Heimtiere;2,66101;107,3;107,2;0,1;8,6;0,001;0,224;;;;;;;;
0931;;3;;Spiel- und Hobbywaren;0,57151;103,3;103,8;-0,5;0,8;-0,003;0,005;;;;;;;;
09311;;4;;Spiele und Hobbywaren;0,14951;97,5;101,3;-3,8;-7,9;-0,005;-0,012;;;;;;;;
093110;080300;7;0453;Brettspiel;0,04231;104,8;104,3;0,5;6,3;0,000;0,003;;;;;;;;
093110;080400;7;0454;Grundgerät für Videospiel;0,04672;99,2;100,4;-1,2;-6,2;0,000;-0,003;;;;;;;;
093110;080500;7;0455;CD-Rom-Spiel für PC;0,06048;88,8;98,5;-9,8;-19,9;-0,005;-0,012;;;;;;;;
09312;;4;;Spielzeug und Festartikel;0,42200;105,3;104,6;0,7;3,9;0,002;0,017;;;;;;;;
093120;079800;7;0448;Dreirad / Rutschauto / Laufrad;0,03574;99,3;101,3;-2,0;-0,5;-0,001;0,000;;;;;;;;
093120;079900;7;0449;Modepuppe;0,04346;107,6;104,0;3,5;8,0;0,001;0,004;;;;;;;;
093120;080000;7;0450;Kunststoffbaukasten;0,09671;100,7;100,7;0,0;-1,3;0,000;-0,001;;;;;;;;
093120;080100;7;0451;Metallmodellfahrzeug;0,10611;108,7;108,4;0,3;7,6;0,000;0,008;;;;;;;;
093120;080150;7;1500;Folienballon 9);0,13998;107,4;106,1;1,2;4,7;0,002;0,006;;;;;;;;
0932;;3;;Sportgeräte u. Ausrüstungen f. Camping u. Erholung im Freien;0,55089;101,0;100,9;0,1;14,6;0,000;0,068;;;;;;;;
09321;;4;;Geräte und Ausrüstungen für Sport;0,52202;101,7;101,6;0,1;15,2;0,000;0,066;;;;;;;;
093210;080700;7;0337;Schischuhe / Inlineskater;0,24637;102,5;103,1;-0,6;24,2;-0,001;0,043;;;;;;;;
093210;080800;7;0338;Tennisbälle;0,09737;104,0;102,3;1,7;6,0;0,001;0,006;;;;;;;;
093210;081100;7;0583;Schi inkl. Bindung;0,08904;104,2;104,1;0,1;16,9;0,000;0,013;;;;;;;;
093210;081600;7;0812;Fitnessgerät;0,08924;110,4;110,4;0,0;4,8;0,000;0,004;;;;;;;;
09322;;4;;Geräte und Ausrüstungen für Camping und Erholung im Freien;0,02021;88,1;88,1;0,0;11,5;0,000;0,002;;;;;;;;
093220;081300;7;0600;Schlafsack;0,02021;88,1;88,1;0,0;11,5;0,000;0,002;;;;;;;;
09323;;4;;Reparatur an Ger. u. Ausrüstg. f. Sport, Camping u. Erholg. im Freien;0,00866;95,9;95,8;0,1;-4,2;0,000;0,000;;;;;;;;
093230;081700;7;0813;Schi- / Racketservice;0,00866;95,9;95,8;0,1;-4,2;0,000;0,000;;;;;;;;
0933;;3;;Pflanzen;0,69907;111,5;112,0;-0,4;9,9;-0,004;0,071;;;;;;;;
09331;;4;;Verbrauchsgüter für Gartenpflege;0,17973;117,8;118,3;-0,4;12,2;-0,001;0,022;;;;;;;;
093310;081800;7;0820;Blumenübertopf;0,09140;115,7;116,5;-0,7;10,0;-0,001;0,009;;;;;;;;
093310;082400;7;0833;Blumenerde;0,05476;114,7;114,7;0,0;14,6;0,000;0,008;;;;;;;;
093310;082500;7;0834;Düngemittel;0,03357;129,5;129,5;0,0;14,4;0,000;0,005;;;;;;;;
09332;;4;;Gartenerzeugnisse;0,51934;109,4;109,9;-0,5;9,1;-0,003;0,048;;;;;;;;
093320;081900;7;0829;Blumen;0,19013;107,7;111,7;-3,6;6,4;-0,007;0,013;;;;;;;;
093320;082000;7;0830;Zimmerpflanze;0,11062;109,7;109,3;0,4;8,1;0,000;0,009;;;;;;;;
093320;082100;7;0831;Gartenpflanze;0,19406;109,6;107,5;2,0;11,5;0,004;0,023;;;;;;;;
093320;082200;7;0832;Grassamen;0,02453;124,9;124,9;0,0;14,0;0,000;0,004;;;;;;;;
0934;;3;;Heimtiere und Heimtierartikel;0,57037;112,2;110,8;1,3;13,0;0,008;0,075;;;;;;;;
09342;;4;;Ge- und Verbrauchsgüter für die Haustierhaltung;0,57037;112,2;110,8;1,3;13,0;0,008;0,075;;;;;;;;
093420;082700;7;0370;Katzenfutter;0,26458;112,3;110,4;1,7;14,9;0,005;0,040;;;;;;;;
093420;082800;7;0371;Hundefutter, trocken;0,10863;111,7;110,2;1,4;10,9;0,001;0,012;;;;;;;;
093420;082801;7;1059;Hundefutter, nass;0,09438;116,6;115,9;0,6;17,2;0,001;0,017;;;;;;;;
093420;082900;7;0372;Hundeleine;0,03335;98,8;99,7;-0,9;0,1;0,000;0,000;;;;;;;;
093420;083000;7;0434;Katzenstreu;0,06943;112,5;111,4;1,0;9,1;0,001;0,006;;;;;;;;
0935;;3;;Veterinär- u.a. Dienstleistungen für Heimtiere;0,26917;105,4;105,4;0,0;2,4;0,000;0,007;;;;;;;;
09350;;4;;Veterinär- u.a. Dienstleistungen für Haustiere;0,26917;105,4;105,4;0,0;2,4;0,000;0,007;;;;;;;;
093500;083100;7;0504;Tierarzt, Hundeimpfung;0,21591;105,6;105,6;0,0;2,4;0,000;0,005;;;;;;;;
093500;083200;7;0518;Chip für Hunde;0,05326;104,4;104,4;0,0;2,4;0,000;0,001;;;;;;;;
094;;2;;Freizeit- und Kulturdienstleistungen;3,96812;104,7;104,8;-0,1;3,5;-0,006;0,137;;;;;;;;
0941;;3;;Freizeit- und Sportdienstleistungen;1,72197;106,1;106,0;0,1;3,6;0,001;0,063;;;;;;;;
09411;;4;;Besuch von Sport- und Erholungsveranstaltungen;0,08458;100,0;100,1;-0,1;-0,1;0,000;0,000;;;;;;;;
094110;083500;7;0476;Fußballspiel, Eintritt;0,08458;100,0;100,1;-0,1;-0,1;0,000;0,000;;;;;;;;
09412;;4;;Teilnahme an Sport- und Erholungsveranstaltungen;1,63739;106,6;106,5;0,1;3,8;0,001;0,063;;;;;;;;
094120;083300;7;0466;Musikschule;0,09573;101,9;101,9;0,0;0,6;0,000;0,001;;;;;;;;
094120;083400;7;0475;Tennisvereinsbeitrag;0,16685;103,2;103,2;0,0;2,8;0,000;0,005;;;;;;;;
094120;083600;7;0482;Freiluftbad, Eintritt Erwachsene;0,05055;116,4;116,4;0,0;19,1;0,000;0,010;;;;;;;;
094120;084000;7;0822;Therme, Eintritt;0,12717;109,7;109,7;0,0;6,3;0,000;0,008;;;;;;;;
094120;084100;7;0486;Fitnessstudio;0,41809;106,4;106,0;0,4;4,8;0,002;0,021;;;;;;;;
094120;084200;7;0505;Reitstunde;0,12778;111,5;112,1;-0,5;6,5;-0,001;0,008;;;;;;;;
094120;084300;7;0934;Seilbahnen und Lifte;0,53068;105,1;105,1;0,0;0,2;0,000;0,001;;;;;;;;
094120;084400;7;0478;Hallenbad, Eintritt Erwachsene;0,02411;110,3;110,3;0,0;15,4;0,000;0,003;;;;;;;;
094120;084950;7;1058;Tanzschule;0,06497;121,0;120,2;0,7;9,9;0,000;0,006;;;;;;;;
094120;084970;7;1400;Schiverleih;0,03146;100,0;100,0;0,0;-0,8;0,000;0,000;;;;;;;;
0942;;3;;Kulturdienstleistungen;1,44642;105,6;106,1;-0,5;5,0;-0,007;0,074;;;;;;;;
09421;;4;;Kinos, Theater, Konzerthallen;0,48666;103,3;104,7;-1,3;4,2;-0,006;0,024;;;;;;;;
094210;084800;7;0395;Kino, Eintrittskarte Erwachsene;0,20676;105,2;105,8;-0,6;3,6;-0,001;0,008;;;;;;;;
094210;085200;7;0468;Musiktheater;0,20745;101,2;103,7;-2,4;4,8;-0,005;0,012;;;;;;;;
094210;085300;7;0469;Sprechtheater;0,07245;104,6;105,0;-0,4;4,7;0,000;0,004;;;;;;;;
09422;;4;;Museen, Kunstgalerien, zoologische und botanische Gärten;0,19140;109,1;109,1;0,0;5,9;0,000;0,012;;;;;;;;
094220;085500;7;0506;Touristische Attraktion, Erwachsene;0,08980;108,5;108,5;0,0;4,9;0,000;0,005;;;;;;;;
094220;085900;7;0471;Zoo / Landesausstellung Erwachsene;0,10160;109,6;109,6;0,0;6,9;0,000;0,007;;;;;;;;
09423;;4;;Fernseh- und Rundfunkgebühren, Abonnementsgebühren;0,69306;106,4;106,4;0,0;5,3;0,000;0,038;;;;;;;;
094230;085400;7;0503;Gebühr für Telekabel / digitales Antennen TV;0,09302;103,3;103,3;0,0;1,9;0,000;0,002;;;;;;;;
094230;085401;7;1069;Pay-TV;0,19308;106,3;106,3;0,0;3,6;0,000;0,006;;;;;;;;
094230;085700;7;0581;Fernseh-Kombigebühr;0,40696;107,5;107,5;0,0;7,1;0,000;0,030;;;;;;;;
09425;;4;;Dienstleistungen von Fotografen;0,07530;104,4;105,2;-0,8;1,6;-0,001;0,001;;;;;;;;
094250;085100;7;0401;Digitale Fotoausarbeitung;0,07530;104,4;105,2;-0,8;1,6;-0,001;0,001;;;;;;;;
0943;;3;;Glücksspiele;0,79973;100,0;100,0;0,0;0,0;0,000;0,000;;;;;;;;
09430;;4;;Glücksspiele;0,79973;100,0;100,0;0,0;0,0;0,000;0,000;;;;;;;;
094300;086300;7;0850;Lotto;0,36876;100,0;100,0;0,0;0,0;0,000;0,000;;;;;;;;
094300;086400;7;0851;Joker;0,13124;100,0;100,0;0,0;0,0;0,000;0,000;;;;;;;;
094300;086500;7;0852;Rubbellos;0,06147;100,0;100,0;0,0;0,0;0,000;0,000;;;;;;;;
094300;086600;7;0855;Euromillionen;0,23826;100,0;100,0;0,0;0,0;0,000;0,000;;;;;;;;
095;;2;;Zeitungen, Bücher und Schreibwaren;1,10992;108,9;109,4;-0,5;3,9;-0,006;0,043;;;;;;;;
0951;;3;;Bücher;0,26783;100,2;102,4;-2,1;0,0;-0,005;0,000;;;;;;;;
09511;;4;;Belletristik;0,12670;95,2;100,7;-5,5;-3,6;-0,006;-0,005;;;;;;;;
095110;086800;7;0796;Bestseller, Belletristik;0,07587;96,9;107,7;-10,0;-5,6;-0,007;-0,004;;;;;;;;
095110;086900;7;0797;Bestseller, Kinderbuch;0,05083;93,0;91,2;2,0;-0,6;0,001;0,000;;;;;;;;
09513;;4;;Andere Sachbücher;0,14113;104,6;103,9;0,7;3,3;0,001;0,005;;;;;;;;
095130;086700;7;0795;Fachbuch;0,09954;102,1;102,1;0,0;1,7;0,000;0,002;;;;;;;;
095130;087000;7;0798;Bestseller, Sachbuch;0,04159;111,4;109,0;2,2;6,9;0,001;0,003;;;;;;;;
0952;;3;;Zeitungen und Zeitschriften;0,54623;114,1;113,8;0,3;4,4;0,002;0,025;;;;;;;;
09521;;4;;Zeitungen;0,40998;113,5;113,5;0,0;2,4;0,000;0,010;;;;;;;;
095210;;S;;Tageszeitungen (9 Positionen);0,40998;113,5;113,5;0,0;2,4;0,000;0,010;;;;;;;;
09522;;4;;Magazine und Zeitschriften;0,13625;116,5;115,0;1,3;10,6;0,002;0,014;;;;;;;;
095220;087100;7;0808;Illustrierte;0,13625;116,5;115,0;1,3;10,6;0,002;0,014;;;;;;;;
0953;;3;;Sonstige Druckerzeugnisse;0,06935;104,2;105,3;-1,0;-0,3;-0,001;0,000;;;;;;;;
09530;;4;;Andere Druckerzeugnisse;0,06935;104,2;105,3;-1,0;-0,3;-0,001;0,000;;;;;;;;
095300;088600;7;0313;Glückwunschbillet;0,06935;104,2;105,3;-1,0;-0,3;-0,001;0,000;;;;;;;;
0954;;3;;Schreibwaren und Zeichenmaterial;0,22651;108,7;109,2;-0,5;8,6;-0,002;0,018;;;;;;;;
09541;;4;;Papierwaren;0,07457;105,5;107,4;-1,8;7,5;-0,002;0,005;;;;;;;;
095410;088900;7;0385;Schulheft;0,03161;108,9;115,0;-5,3;18,8;-0,002;0,005;;;;;;;;
095410;089500;7;0390;Geschenkpapier;0,04296;103,2;102,2;1,0;0,7;0,000;0,000;;;;;;;;
09549;;4;;Andere Schreibwaren und Zeichenmaterialien;0,15194;110,5;110,2;0,3;9,1;0,000;0,013;;;;;;;;
095490;088800;7;0384;Schulfüllfeder;0,03941;109,6;110,2;-0,5;8,1;0,000;0,003;;;;;;;;
095490;089200;7;0388;Buntstifte;0,05392;105,4;105,9;-0,5;8,8;0,000;0,004;;;;;;;;
095490;089300;7;0389;Bleistift;0,03580;114,3;113,3;0,9;7,6;0,000;0,003;;;;;;;;
095490;089400;7;0392;Ringmappe;0,02281;118,4;115,9;2,2;14,1;0,000;0,003;;;;;;;;
096;;2;;Pauschalreisen;2,30901;116,7;119,0;-1,9;4,0;-0,041;0,083;;;;;;;;
0960;;3;;Pauschalreisen;2,30901;116,7;119,0;-1,9;4,0;-0,041;0,083;;;;;;;;
09602;;4;;Pauschalreisen für Auslandsurlaube;2,30901;116,7;119,0;-1,9;4,0;-0,041;0,083;;;;;;;;
096020;089700;7;0841;Buspauschalreisen im Ausland;0,26879;66,8;68,1;-1,9;-31,3;-0,003;-0,068;;;;;;;;
096020;089800;7;0845;Städteflug;0,09999;111,8;116,7;-4,2;14,2;-0,005;0,014;;;;;;;;
096020;089900;7;0846;Flugpauschalreisen;1,94023;123,8;126,1;-1,8;7,6;-0,033;0,137;;;;;;;;
10;;1;;ERZIEHUNG UND UNTERRICHT;0,98099;104,1;104,1;0,0;2,5;0,000;0,024;;;;;;;;
101;;2;;Kindergarten, Volksschule, Internat;0,14764;104,9;104,9;0,0;4,0;0,000;0,006;;;;;;;;
1010;;3;;Dienstl. d. Bildungseinr. d. Elementar- und Primarbereichs;0,14764;104,9;104,9;0,0;4,0;0,000;0,006;;;;;;;;
10101;;4;;Dienstl. d. Bildungseinr. des Elementarber. (ISCED-97 Kategorie 0);0,08824;105,6;105,6;0,0;4,9;0,000;0,004;;;;;;;;
101010;;S;;Kindergartengebühr (3 Positionen);0,08824;105,6;105,6;0,0;4,9;0,000;0,004;;;;;;;;
10102;;4;;Dienstl. d. Bildungseinr. des Primarber. (ISCED-97 Kategorie 1);0,05940;104,0;104,0;0,0;2,7;0,000;0,002;;;;;;;;
101020;090000;7;0467;Volksschule, Non Profit, privat;0,05940;104,0;104,0;0,0;2,7;0,000;0,002;;;;;;;;
102;;2;;Mittelschule, Schulausflüge;0,10536;101,5;101,5;0,0;-1,0;0,000;-0,001;;;;;;;;
1020;;3;;Dienstleistungen d. Bildungseinrichtungen d. Sekundarber.;0,10536;101,5;101,5;0,0;-1,0;0,000;-0,001;;;;;;;;
10200;;4;;Dienstleistungen d. Bildungseinrichtungen d. Sekundarber.;0,10536;101,5;101,5;0,0;-1,0;0,000;-0,001;;;;;;;;
102000;090400;7;0439;Mittelschule, AHS;0,04468;104,2;104,2;0,0;2,3;0,000;0,001;;;;;;;;
102000;090550;7;1072;Schulsportwoche;0,06068;99,8;99,8;0,0;-3,3;0,000;-0,002;;;;;;;;
103;;2;;AHS oder BHS, 9, - 13, Schulstufe;0,07890;103,5;103,5;0,0;2,1;0,000;0,002;;;;;;;;
1030;;3;;Dienstleistungen d. postsekund., nicht-tertiären Bildungsber.;0,07890;103,5;103,5;0,0;2,1;0,000;0,002;;;;;;;;
10300;;4;;Dienstleistungen d. postsekund., nicht-tertiären Bildungsber.;0,07890;103,5;103,5;0,0;2,1;0,000;0,002;;;;;;;;
103000;090700;7;0440;AHS, BHS Oberstufe;0,07890;103,5;103,5;0,0;2,1;0,000;0,002;;;;;;;;
104;;2;;Studiengebühren;0,18721;105,6;105,6;0,0;3,2;0,000;0,006;;;;;;;;
1040;;3;;Dienstleistungen d. Bildungseinrichtungen d. Tertiärbereichs;0,18721;105,6;105,6;0,0;3,2;0,000;0,006;;;;;;;;
10400;;4;;Dienstleistungen d. Bildungseinrichtungen d. Tertiärbereichs;0,18721;105,6;105,6;0,0;3,2;0,000;0,006;;;;;;;;
104000;090800;7;0601;Uni-Lehrgang;0,13255;104,6;104,6;0,0;4,5;0,000;0,006;;;;;;;;
104000;090900;7;0603;Studiengebühr;0,05466;108,3;108,3;0,0;0,5;0,000;0,000;;;;;;;;
105;;2;;Kurse;0,46188;103,9;104,0;-0,1;2,4;0,000;0,011;;;;;;;;
1050;;3;;Dienstleistungen nicht einstufbarer Bildungseinrichtungen;0,46188;103,9;104,0;-0,1;2,4;0,000;0,011;;;;;;;;
10500;;4;;Dienstleistungen nicht einstufbarer Bildungseinrichtungen;0,46188;103,9;104,0;-0,1;2,4;0,000;0,011;;;;;;;;
105000;091000;7;0098;Nachhilfe;0,08791;106,5;106,5;0,0;5,2;0,000;0,005;;;;;;;;
105000;091100;7;0814;Sprachkurs;0,09518;101,6;101,6;0,0;0,4;0,000;0,000;;;;;;;;
105000;091200;7;0880;Sprachaufenthalt / Lerncamp;0,04447;107,1;107,5;-0,4;4,6;0,000;0,002;;;;;;;;
105000;091300;7;0815;Fortbildungskurs, -lehrgang;0,18355;103,3;103,3;0,0;1,7;0,000;0,003;;;;;;;;
105000;091400;7;0816;EDV-Kurs;0,05077;102,9;102,9;0,0;1,5;0,000;0,001;;;;;;;;
11;;1;;RESTAURANTS UND HOTELS;12,68002;115,4;114,2;1,1;9,9;0,128;1,272;;;;;;;;
111;;2;;Bewirtungsdienstleistungen;11,05493;114,1;113,4;0,6;9,7;0,076;1,092;;;;;;;;
1111;;3;;Restaurants, Cafés und dergleichen;10,41032;114,5;113,8;0,6;10,0;0,070;1,051;;;;;;;;
11111;;4;;Restaurants, Cafés und Tanzlokale;8,57988;114,5;113,8;0,6;9,6;0,052;0,836;;;;;;;;
111110;092201;7;1063;Cocktail;0,66685;110,5;110,2;0,3;7,8;0,002;0,052;;;;;;;;
111110;092500;7;0189;Vegetarisches Gericht;0,31856;120,7;119,8;0,8;12,4;0,002;0,040;;;;;;;;
111110;092600;7;0179;Frühstück, Kaffeehaus;0,17786;111,1;110,5;0,5;5,6;0,001;0,010;;;;;;;;
111110;092700;7;0192;Tortenstück, Kaffeehaus;0,19633;113,5;113,3;0,2;7,6;0,000;0,015;;;;;;;;
111110;092800;7;0193;Kaffee (Verlängerter, Melange, Cappuccino, Lungo);0,44409;108,0;107,7;0,3;4,7;0,001;0,022;;;;;;;;
111110;092900;7;0177;Tee, Kaffeehaus;0,14721;112,9;112,5;0,4;6,5;0,000;0,010;;;;;;;;
111110;093000;7;0194;Mischgetränk alkoholisch, Kaffeehaus;0,27003;111,9;111,5;0,4;6,3;0,001;0,017;;;;;;;;
111110;093200;7;0196;Tagessuppe / Suppe;0,09752;117,0;117,0;0,0;11,5;0,000;0,011;;;;;;;;
111110;093500;7;0199;Tagesmenü / Mittagsmenü;0,30146;117,2;116,1;0,9;10,6;0,003;0,032;;;;;;;;
111110;093600;7;0200;Schweinefleischgericht;0,19256;118,4;117,6;0,7;12,1;0,001;0,024;;;;;;;;
111110;093700;7;0201;Schnitzel, paniert;0,44549;118,2;117,5;0,6;12,3;0,003;0,054;;;;;;;;
111110;093800;7;0202;Rindfleischgericht;0,40830;117,5;116,8;0,6;11,7;0,003;0,048;;;;;;;;
111110;093900;7;0178;Mehlspeise, Kaffeehaus;0,12531;115,2;115,0;0,2;9,1;0,000;0,012;;;;;;;;
111110;094000;7;0174;Toast, Kaffeehaus;0,09640;112,3;111,3;0,9;8,2;0,001;0,008;;;;;;;;
111110;094100;7;0203;Beilagensalat;0,15184;114,3;113,6;0,6;10,4;0,001;0,016;;;;;;;;
111110;094200;7;0204;Mehlspeise, warm;0,17403;118,7;118,5;0,2;11,6;0,000;0,020;;;;;;;;
111110;094300;7;0205;Fischgericht;0,30909;119,6;118,8;0,7;12,8;0,002;0,040;;;;;;;;
111110;094500;7;0207;Kleiner Brauner, einfacher Espresso;0,12604;110,9;110,4;0,5;8,0;0,001;0,010;;;;;;;;
111110;094600;7;0208;Bier, Restaurant;0,48912;110,6;110,0;0,5;7,3;0,003;0,036;;;;;;;;
111110;094700;7;0209;Wein, Restaurant;0,89927;117,5;116,8;0,6;11,1;0,005;0,100;;;;;;;;
111110;094800;7;0210;Mineralwasser, Restaurant;0,39688;112,9;111,7;1,1;8,8;0,004;0,035;;;;;;;;
111110;094900;7;0211;Apfelsaft, Restaurant;0,13799;114,0;112,2;1,6;10,3;0,002;0,014;;;;;;;;
111110;095000;7;0212;Colagetränk, Restaurant;0,27278;110,5;110,2;0,3;6,8;0,001;0,019;;;;;;;;
111110;095100;7;0213;Fruchtsaft, Restaurant;0,06892;109,8;109,0;0,7;6,9;0,000;0,005;;;;;;;;
111110;095500;7;0604;Vorspeise / Pasta, ital. Restaurant;0,22714;117,8;117,1;0,6;12,2;0,001;0,028;;;;;;;;
111110;095600;7;0605;Pizza, ital. Restaurant;0,40483;114,8;114,0;0,7;12,0;0,003;0,050;;;;;;;;
111110;095700;7;0606;Mittagsmenü, ital. Restaurant;0,27812;115,8;115,1;0,6;11,6;0,002;0,032;;;;;;;;
111110;095800;7;0607;Nachspeise, ital. Restaurant;0,21504;116,2;115,4;0,7;11,2;0,002;0,025;;;;;;;;
111110;095900;7;0621;Vorspeise, asiat. Restaurant;0,06285;109,5;108,3;1,1;8,6;0,001;0,005;;;;;;;;
111110;096000;7;0622;Hauptspeise, asiat. Restaurant;0,26006;111,9;110,2;1,5;8,7;0,004;0,023;;;;;;;;
111110;096100;7;0623;Mittagsmenü, -buffet, asiat. Restaurant;0,21791;117,6;116,8;0,7;10,5;0,002;0,023;;;;;;;;
11112;;4;;Schnellrest. u. Betr., die Speisen u. Getr. zum Mitnehmen verkaufen;1,83044;114,6;113,5;1,0;11,7;0,018;0,214;;;;;;;;
111120;091500;7;0023;Leberkäse, heiß;0,17504;109,5;109,5;0,0;9,4;0,000;0,017;;;;;;;;
111120;091600;7;0099;Pizza inkl. Zustellung;0,37692;109,6;109,9;-0,3;9,5;-0,001;0,036;;;;;;;;
111120;091700;7;0188;Belegtes Gebäck;0,17831;115,2;115,0;0,2;12,3;0,000;0,022;;;;;;;;
111120;091800;7;0214;Kebab, Imbissstand;0,22787;120,2;119,6;0,5;14,0;0,001;0,032;;;;;;;;
111120;091900;7;0215;Getränk, Imbissstand;0,31200;115,2;115,0;0,2;10,6;0,001;0,033;;;;;;;;
111120;092000;7;0217;Fast Food;0,25185;119,0;111,5;6,7;17,2;0,017;0,043;;;;;;;;
111120;092400;7;0460;Essen auf Rädern;0,10579;106,2;106,2;0,0;3,4;0,000;0,004;;;;;;;;
111120;093100;7;0195;Würstel, Imbissstand;0,20266;117,7;117,8;-0,1;13,6;0,000;0,028;;;;;;;;
1112;;3;;Kantinen;0,64461;108,1;107,1;0,9;6,3;0,006;0,041;;;;;;;;
11120;;4;;Kantinen, Mensen;0,64461;108,1;107,1;0,9;6,3;0,006;0,041;;;;;;;;
